ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Type_of_order,Type_of_vehicle,Time_taken(min),Distance_km,Traffic,Peak_Hour,Weather,Season,Normal_Hour_Preparation_Time,Peak_Hour_Preparation_Time,Food_Type
4607,INDORES13DEL02,37,4.9,22.745049,75.892471,22.765049,75.912471,Snack ,motorcycle ,23,3.0251492856773803,Medium,No,Clear,Summer,13,22,Burger
B379,BANGRES18DEL02,34,4.5,12.913041,77.683237,13.043041,77.813237,Snack ,scooter ,60,20.18352972873287,Medium,Yes,Cloudy,Winter,13,19,Pizza
5D6D,BANGRES19DEL01,23,4.4,12.914264,77.6784,12.924264,77.6884,Drinks ,motorcycle ,24,1.552757802255354,Medium,No,Rain,Monsoon,16,23,Snacks
7A6A,COIMBRES13DEL02,38,4.7,11.003669,76.976494,11.053669,77.026494,Buffet ,motorcycle ,37,7.790401360105807,Medium,No,Clear,Summer,14,19,Burger
70A2,CHENRES12DEL01,32,4.6,12.972793,80.249982,13.012793,80.289982,Snack ,scooter ,33,6.210137965623703,Medium,No,Cloudy,Winter,17,29,Pizza
9BB4,HYDRES09DEL03,22,4.8,17.431668,78.408321,17.461668,78.438321,Buffet ,motorcycle ,30,4.610365144356333,Medium,No,Rain,Monsoon,17,23,Snacks
95B4,RANCHIRES15DEL01,33,4.7,23.369746,85.33982,23.479746,85.44982,Meal ,scooter ,60,16.600361127913082,High,Yes,Clear,Summer,8,17,Burger
9EB2,MYSRES15DEL02,35,4.6,12.352058,76.60665,12.482058,76.73665,Meal ,motorcycle ,60,20.20525323529313,Medium,Yes,Cloudy,Winter,16,23,Drinks
1102,HYDRES05DEL02,22,4.8,17.433809,78.386744,17.563809,78.516744,Buffet ,motorcycle ,60,19.97552008622187,Medium,Yes,Rain,Monsoon,14,19,Drinks
CDCD,DEHRES17DEL01,36,4.2,30.327968,78.046106,30.397968,78.116106,Snack ,motorcycle ,55,10.280582064622465,High,Yes,Clear,Summer,10,20,Burger
D987,KOCRES16DEL01,21,4.7,10.003064,76.307589,10.043064,76.347589,Meal ,motorcycle ,31,6.242318682700942,Medium,No,Cloudy,Winter,9,19,Snacks
2784,PUNERES13DEL03,23,4.7,18.56245,73.916619,18.65245,74.006619,Drinks ,scooter ,60,13.787860239172238,Medium,No,Rain,Monsoon,16,26,Pizza
C8B6,LUDHRES15DEL02,34,4.3,30.899584,75.809346,30.919584,75.829346,Buffet ,motorcycle ,18,2.930257800762021,Medium,No,Clear,Summer,10,18,Biryani
DB64,KNPRES14DEL02,24,4.7,26.463504,80.372929,26.593504,80.502929,Snack ,scooter ,60,19.39661829066188,High,Yes,Cloudy,Winter,12,21,Drinks
3AF3,MUMRES15DEL03,29,4.5,19.176269,72.836721,19.266269,72.926721,Buffet ,electric_scooter ,58,13.7639772244273,Medium,No,Rain,Monsoon,8,13,Pizza
3AAB,MYSRES01DEL01,35,4.0,12.311072,76.654878,12.351072,76.694878,Meal ,scooter ,36,6.218001190187312,Medium,Yes,Clear,Summer,18,28,Drinks
689B,PUNERES20DEL01,33,4.2,18.592718,73.773572,18.702718,73.883572,Snack ,motorcycle ,60,16.849939918016943,High,Yes,Cloudy,Winter,16,27,Meals
6F67,HYDRES14DEL01,34,4.9,17.426228,78.407495,17.496228,78.477495,Snack ,motorcycle ,59,10.757108800258177,High,Yes,Rain,Monsoon,11,23,Pizza
C9CF,KOLRES15DEL03,21,4.7,22.552672,88.352885,22.582672,88.382885,Meal ,motorcycle ,17,4.540574388730574,Low,No,Clear,Summer,15,22,Biryani
36B8,PUNERES19DEL02,25,4.1,18.563934,73.915367,18.643935,73.995367,Snack ,motorcycle ,56,12.25607644546856,High,Yes,Cloudy,Winter,10,18,Drinks
5795,RANCHIRES06DEL02,31,4.7,23.357804,85.325146,23.487804,85.455146,Meal ,electric_scooter ,60,19.61873934880106,Medium,No,Rain,Monsoon,15,20,Pizza
6C6B,COIMBRES13DEL01,37,5.0,11.003669,76.976494,11.013669,76.986494,Snack ,motorcycle ,15,1.5581322655562495,Medium,No,Clear,Summer,8,17,Biryani
B816,CHENRES19DEL02,33,4.3,12.986047,80.218114,13.116047,80.348114,Meal ,scooter ,60,20.18063511411397,High,Yes,Cloudy,Winter,10,22,Biryani
539B,MUMRES02DEL01,25,4.0,19.221315,72.862381,19.261315,72.902381,Buffet ,motorcycle ,40,6.116971669681921,Medium,Yes,Rain,Monsoon,13,25,Meals
A1B2,CHENRES01DEL01,29,4.5,13.005801,80.250744,13.115801,80.360744,Meal ,electric_scooter ,59,17.075594401072465,Low,No,Clear,Summer,17,28,Pizza
3231,JAPRES16DEL03,27,5.0,26.849596,75.800512,26.879596,75.830512,Snack ,motorcycle ,21,4.47028648943395,Low,No,Cloudy,Winter,12,18,Biryani
8BC0,SURRES15DEL03,35,4.3,21.160522,72.771477,21.250522,72.861477,Drinks ,scooter ,60,13.682044526080338,High,Yes,Rain,Monsoon,10,21,Drinks
2288,BANGRES09DEL03,32,4.0,12.934179,77.615797,13.024179,77.705797,Buffet ,motorcycle ,60,13.97318265391717,High,Yes,Clear,Summer,15,22,Burger
3C5E,PUNERES04DEL01,23,4.8,18.51421,73.838429,18.62421,73.948429,Buffet ,electric_scooter ,56,16.85361872985407,Low,No,Cloudy,Winter,11,21,Drinks
3E+60,COIMBRES02DEL03,31,4.8,11.022477,76.995667,11.052477,77.025667,Drinks ,motorcycle ,29,4.674172124263596,Medium,No,Rain,Monsoon,14,20,Meals
BFF,SURRES16DEL02,36,4.1,21.160437,72.774209,21.210437,72.824209,Drinks ,motorcycle ,32,7.601616771071131,Medium,No,Clear,Summer,11,22,Meals
D936,GOARES15DEL02,26,4.3,15.51315,73.78346,15.56315,73.83346,Buffet ,motorcycle ,35,7.720324413180035,Medium,No,Cloudy,Winter,13,19,Snacks
D681,GOARES07DEL01,38,4.9,15.561295,73.749478,15.601295,73.789478,Drinks ,scooter ,34,6.1756362610176,Medium,No,Rain,Monsoon,12,17,Snacks
2876,RANCHIRES02DEL01,32,3.5,0.0,0.0,0.11,0.11,Snack ,scooter ,60,17.29786575291325,High,Yes,Clear,Summer,9,16,Pizza
30C8,PUNERES19DEL02,32,4.6,18.563934,73.915367,18.693935,74.045367,Drinks ,scooter ,60,19.91468696554527,Medium,No,Cloudy,Winter,15,26,Meals
B843,PUNERES02DEL01,33,4.9,18.55144,73.804855,18.62144,73.874855,Snack ,motorcycle ,45,10.724517748045963,Medium,No,Rain,Monsoon,13,20,Drinks
B3A0,PUNERES18DEL01,20,4.7,18.593481,73.785901,18.633481,73.825901,Snack ,scooter ,25,6.127835452843913,Low,No,Clear,Summer,17,23,Burger
6531,SURRES08DEL01,20,4.8,21.173343,72.792731,21.183343,72.802731,Meal ,scooter ,16,1.5203573134015247,Low,No,Cloudy,Winter,12,20,Pizza
4BDA,HYDRES17DEL02,35,5.0,17.451976,78.385883,17.471976,78.405883,Snack ,scooter ,21,3.0734537599374083,Low,No,Rain,Monsoon,10,15,Meals
9D26,BANGRES17DEL02,26,4.9,12.972532,77.608179,12.992532,77.628179,Buffet ,scooter ,16,3.10513147754577,Low,No,Clear,Summer,8,16,Biryani
9B18,BANGRES17DEL01,22,4.8,12.972532,77.608179,13.042532,77.678179,Snack ,motorcycle ,44,10.86742683448041,Medium,No,Cloudy,Winter,8,13,Meals
5D99,CHENRES11DEL01,35,4.3,13.064181,80.236442,13.134181,80.306442,Snack ,motorcycle ,53,10.865464603780303,Medium,Yes,Rain,Monsoon,12,22,Drinks
4F0,MUMRES17DEL02,29,4.6,19.121999,72.908493,19.201999,72.988493,Drinks ,scooter ,49,12.23672361659882,Medium,Yes,Clear,Summer,16,22,Biryani
B796,SURRES17DEL03,37,4.7,21.149569,72.772697,21.239569,72.862697,Snack ,motorcycle ,59,13.682516298591963,High,Yes,Cloudy,Winter,8,19,Drinks
